tokenId,address,name,Item 1,Item 2,Item 3,Item 4,Item 5,Skin,Chain,Neck Tat,Special Arm Tat,One of One Item,Extra Item,Special Combo,Number of Items,share
0,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,Viper Child,Burger,Nuggets,Ice Cream,Nuggets,Burger,Royal Galaxy,None,None,Ice Cream Tat,None,None,None,5,3
1,CqjfG869pExUXsKQJphBe9nwHqXuZZzzbSdds7a2h9xJ,Out of Order!,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Mythic Ice,Ice Cream Chain,OUT OF ORDER,Ice Cream Tat,1/1 Ice Cream,None,5 Ice Cream,5,3
2,DQHUYVyzEcBRsik7ehqWWynbzsh9zEzHxnmDRkhA2Q2a,Sloane's Cone,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Royal Galaxy,Ice Cream Chain,OUT OF ORDER,Ice Cream Tat,None,None,5 Ice Cream,5,3
3,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,"Goldmember Special aka I love GOOOLD!. The taste of it, the smell of, the texture.",Nuggets,Burger,Burger,Nuggets,Burger,Gold,None,None,None,None,None,None,5,3
4,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,The Drunk Uncle,Burger,Burger,Burger,Drink,Burger,Blue,None,None,None,None,None,None,5,3
5,DQHUYVyzEcBRsik7ehqWWynbzsh9zEzHxnmDRkhA2Q2a,DePudding,Drink,Drink,Drink,Drink,Drink,Green,None,Dickey Megods,None,None,None,5 Drinks,5,3
6,5NSVk4pDf2iqiP1bx5SUa5aeNQB4KFQ7WcXUFambLviy,The Clean McGreen,Nuggets,Burger,Burger,Drink,Nuggets,Magenta,None,None,None,None,None,None,5,3
7,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,Repo Man Combo,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Pearl,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
8,6qJiffzuMa4LprFhr5Vy7EHbKGH7YkyuL3Zbt5qngf2U,The Elitist Combo,Ice Cream,Drink,Burger,Nuggets,Ice Cream,Jade Galaxy,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
9,3ksQ88R3JtAiS57LVtW6GRpwqgwH6pTKDXHh3Aikpmqc,DeGold Meal,Nuggets,Nuggets,Burger,Nuggets,None,Gold,None,None,None,None,None,None,4,2
10,9MNEGJXKsDBfNXHzMtmutp5J4TY1SnTSqKEKGCPGRQri,Franks PHB Tears Combo Mfs,Drink,Drink,Drink,Drink,Drink,Purple,None,Dickey Megods,None,None,None,5 Drinks,5,3
11,EVzCgsmyEu4LDoXXyBQfF1BmD9XtTnSRJZ61FX2aYums,EPH to confirm after his military service,Burger,Nuggets,Nuggets,Nuggets,Burger,Deep Space,None,None,None,None,None,None,5,3
12,8UBbRS2au7ozz3QivYcM4XKekumhmjNzPbRbg9Lzhoxq,Mickey Nug DeCombo,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Yellow,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
13,FB39YELj81hvoq2vaBeoY7qf5rvpSJBzL4ZLH76deVck,DeChampion Bacon Burger Deluxe,Burger,Burger,Burger,Burger,Burger,Blue,None,Beef Cake,None,None,None,5 Burgers,5,3
14,FB39YELj81hvoq2vaBeoY7qf5rvpSJBzL4ZLH76deVck,Buffalo Bills Nugg Special with Extra Brady Tears Dipping Sauce,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Green,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
15,AzrCp2wiCwxVh98aAHMCisV4KQrvMcp6CKjS3ZVY51Go,Mickey Juice and Burger Slurper Combo,Burger,Drink,Nuggets,Drink,Burger,Magenta,None,None,None,None,None,None,5,3
16,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,Mickey DeGotta Pee,Drink,Drink,Drink,Drink,Drink,Pearl,None,Dickey Megods,None,None,None,5 Drinks,5,3
17,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,In Dust We Trust,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Purple,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
18,AzrCp2wiCwxVh98aAHMCisV4KQrvMcp6CKjS3ZVY51Go,The Big 5 Nugget Dump,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Jade Galaxy,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
19,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,McTavv,Burger,Nuggets,Nuggets,Drink,Nuggets,Yellow,None,None,None,None,None,None,5,3
20,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #20,Burger,Nuggets,Nuggets,None,None,Marble,Nug Chain,None,None,1/1 Nuggets,None,None,3,1
21,CQjM5TN3RhXWGh3ZiMzpf6ZrGNTXUwCne5Ar5xrgcDi3,Carby Big Mic Meal,Burger,Drink,Nuggets,Burger,Nuggets,Marble,None,None,None,None,None,None,5,3
22,8KrcM1jZtcrkuhFFsewFDzY3CE1W4J8E3DFWKQgowN94,McMazz Combo,Burger,Drink,Ice Cream,Drink,Nuggets,Blue,None,None,Ice Cream Tat,None,None,None,5,3
23,8KrcM1jZtcrkuhFFsewFDzY3CE1W4J8E3DFWKQgowN94,McSmoke Break,Burger,Ice Cream,Ice Cream,Drink,Nuggets,Green,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
24,7t2kMM4L3REDTik3xrr2LB7f7UtrjNGvLUHj2C3tKPCv,Double Mick,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Magenta,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
25,CSR5sGdbn8fwnceRbxXp4hsaRCWhYDAaopJisSNqRhkA,AKs Classic combo,Nuggets,Burger,Burger,Drink,Nuggets,Pearl,None,None,None,None,None,None,5,3
26,3CLhKYmGSBWpS1JQECJUEo6ehwXqQeSLaS1RFLHP8yff,Acid Medusa,Drink,Ice Cream,Burger,Ice Cream,Nuggets,Jade Galaxy,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
27,yq9utKpjdZdwkEbEacSaMQpzi178DS5yEyJZbci1ZXy,Nugs on Nugs on Nugs,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Purple,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
28,yq9utKpjdZdwkEbEacSaMQpzi178DS5yEyJZbci1ZXy,DeSsentials Only,Burger,Burger,Ice Cream,Ice Cream,Burger,Yellow,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
29,EQa1n8XooFSWiapQWVY1BJ8jccHEQmGfBfhj2o9scEbC,Ziggy's Lunch,Nuggets,Burger,Nuggets,Burger,Nuggets,Blue,None,None,None,None,None,None,5,3
30,AA1EwFCcvbxXYvnSYyzidDfVMGqoTGVo5ECVdpNQbFg7,Bodhisattva,Burger,Ice Cream,Classic Fry,Drink,Ice Cream,Deep Space,None,OUT OF ORDER,Classic Tat & Ice Cream Tat,None,None,None,5,3
31,9b1yRkmFCkCAbVtUWMFs9LsttGy9CpV5pTrHqMZ3G2rW,DeFrunk Special,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Royal Galaxy,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
32,4nr1PcCtm9Y7P5vEBH8PYw5LyxEcdCMre5c92fRuVW3Z,Tres Hamburguesas y Dos Pepitas,Nuggets,Burger,Burger,Nuggets,Burger,Green,None,None,None,None,None,None,5,3
33,HL5o1zpX6ncHEefEzwXfwhgQ72dyXq4naN24VkVkqbq3,The Johnny five,Burger,Ice Cream,Classic Fry,Drink,Nuggets,Royal Galaxy,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
34,6MmnUMYXxJGVSD8GP93mvuJ6W3aicUAs1gtzX5ntxV5W,Chapter's Brain Food,Nuggets,Burger,Ice Cream,Nuggets,Nuggets,Magenta,None,None,Ice Cream Tat,None,None,None,5,3
35,5mYsauQKCM4BQSh1bLi5T84zyT2utLUzEGVhsYMhEgME,Combo #35,Drink,Burger,Nuggets,None,None,Pearl,None,None,None,None,None,None,3,1
36,HL5o1zpX6ncHEefEzwXfwhgQ72dyXq4naN24VkVkqbq3,Burn after eating,nope,nope,nope,nope,nope,nope,nope,nope,nope,nope,nope,nope,0,0
37,Htdua2Tk3Cgd7zVf5dQ6MsYWAxKvUYz39Ti6np29yFCy,The Fat Delilah,Burger,Drink,Classic Fry,Nuggets,Ice Cream,Purple,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
38,Htdua2Tk3Cgd7zVf5dQ6MsYWAxKvUYz39Ti6np29yFCy,Welcome to Planet Fuck,Nuggets,Burger,Nuggets,Drink,Nuggets,Jade Galaxy,None,None,None,None,None,None,5,3
39,CMEoyE7n2GGG2Mc7seStVQcd2KPQbRAGJGsXZMSoESHn,Combo #39,Burger,Burger,Burger,None,None,Yellow,None,None,None,None,None,None,3,1
40,ELF8eieJAgKHJypyvoWW6PiRFrEHCwZd27K5f5UmNgjZ,Lou Bega's Combo No. 5,Burger,Burger,Burger,Burger,Burger,Deep Space,None,Beef Cake,None,None,None,5 Burgers,5,3
41,AqznUKp5hN6Hvv2GZ8bSLw7EsKe749ensjhGpSpxVzHv,Cinna's Congestion Chicken,Nuggets,Nuggets,Nuggets,Nuggets,None,Blue,None,None,None,None,None,None,4,2
42,2Y59yGgUBHiR1KFW8Fpgiiucq4BgzGyvozT1yaBrkNf3,Acid Medusa 2,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Green,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
43,5Xrpc8N6ptrFW4SEV9MEp8581FBUFGuhQbUDJ2Q2zjeY,BLE COMBO,Burger,Drink,Burger,Drink,Burger,Magenta,None,None,None,None,None,None,5,3
44,ELF8eieJAgKHJypyvoWW6PiRFrEHCwZd27K5f5UmNgjZ,"Second Best Combo, Behind the Hosts of the @DeGodCast",Burger,Burger,Burger,Burger,Burger,Pearl,None,Beef Cake,None,None,None,5 Burgers,5,3
45,ELF8eieJAgKHJypyvoWW6PiRFrEHCwZd27K5f5UmNgjZ,Combo #45,Drink,Burger,Nuggets,None,None,Purple,Burger Chain,None,None,1/1 Burger,None,None,3,1
46,ELF8eieJAgKHJypyvoWW6PiRFrEHCwZd27K5f5UmNgjZ,Combo #46,Drink,Burger,Nuggets,None,None,Yellow,Burger Chain,None,None,1/1 Burger,None,None,3,1
47,ELF8eieJAgKHJypyvoWW6PiRFrEHCwZd27K5f5UmNgjZ,Combo #47,Drink,Burger,Nuggets,None,None,Blue,None,None,None,None,None,None,3,1
48,GWnKPZv3RaNDM6N9wVYm3XZBCj9rfKdPzH2xFqTbEebS,Combo #48,Burger,Drink,Burger,None,None,Green,None,None,None,None,None,None,3,1
49,Es3zKL28bHujCog46MHrFJw57uSJa2xZNPubfwDCTVJz,369 Fries,Drink,Nuggets,Drink,Nuggets,Drink,Marble,None,None,None,None,None,None,5,3
50,9kg9sTMBRp1cVmhvevPqYEiPv9jTF9FFmutiHPBbToRG,NugsforDays,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Magenta,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
51,JwkYDugse9ZzP1v8T4rqbodUEFv8aaydmg6S16dKV4i,Here's the Beef!,Burger,Burger,Burger,Burger,Burger,Deep Space,None,Beef Cake,None,None,None,5 Burgers,5,3
52,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #52,Burger,Burger,Burger,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
53,EF7A95MSswNpnhKbRHvygb21d6D8HpDX4o7kBM5gtLS6,Rae of Sunshine,Burger,Drink,Ice Cream,Drink,Nuggets,Pearl,None,None,Ice Cream Tat,None,None,None,5,3
54,7er48rjsvJr617Wv1z1kRhPSZf3VQnbF9RcWsSg4daKh,Godsnack,Burger,Drink,Ice Cream,Nuggets,Ice Cream,Green,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
55,9wZXnsRFdHo5ajnhtJ8DznVkqV7kXSRU4LY9MYSqTyCt,McDickey Burned,Nuggets,Drink,Burger,Burger,Nuggets,Jade Galaxy,None,None,None,None,None,None,5,3
56,f6xQRiwE5Nh7d9jFCLAqsHxRMZp3xZJ58jvzAtG4Ujn,Car Salesman Combo,Burger,Drink,Classic Fry,Nuggets,Ice Cream,Pearl,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
57,9wZXnsRFdHo5ajnhtJ8DznVkqV7kXSRU4LY9MYSqTyCt,McLovin Dickey NuGs,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Purple,None,33 Piece,30 Nug,None,3.3 Nugs,5 Nuggets,5,3
58,9wZXnsRFdHo5ajnhtJ8DznVkqV7kXSRU4LY9MYSqTyCt,Hawaiian Hungover,Drink,Burger,Drink,Nuggets,None,Yellow,None,None,None,None,None,None,4,2
59,CmQJjjqmRGeiXyxQCBUKboVDS7NWHwpQHAbyd5D9Sdqv,Thirst Quencher,Drink,Drink,Burger,Drink,Nuggets,Deep Space,None,None,None,None,None,None,5,3
60,Htdua2Tk3Cgd7zVf5dQ6MsYWAxKvUYz39Ti6np29yFCy,Solympian Daydream,Nuggets,Drink,Classic Fry,Ice Cream,Drink,Blue,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
61,FPpLJrgvtopgbiFYFqVjBwRoHPYw8rU5GQ3132L3RMTi,McLovin's Happy Meal - Bada ba ba bah,Burger,Ice Cream,Classic Fry,Drink,Nuggets,Royal Galaxy,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
62,3UaKVCevjBjos2y6usj6syBtRR2wnYTMAyzBXiwKtBX5,Combo #62,Drink,Burger,Nuggets,None,None,Green,None,None,None,None,None,None,3,1
63,3j1ftVHaF4LKPk7STZRfU6iBGMQCXA6mHhitDw96gQjh,RIP Paperhands 5 Piece,Nuggets,Burger,Burger,Drink,Nuggets,Magenta,None,None,None,None,None,None,5,3
64,96uem7jDPecRUazwTNbZSAZSLQNVvM4yAJYwNEqMJndN,The Sucamy Special,Ice Cream,Drink,Drink,Drink,Ice Cream,Jade Galaxy,none,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
65,96uem7jDPecRUazwTNbZSAZSLQNVvM4yAJYwNEqMJndN,Quadruple Jit Combo,Burger,Nuggets,Burger,Nuggets,None,Pearl,None,None,None,None,None,None,4,2
66,EF7A95MSswNpnhKbRHvygb21d6D8HpDX4o7kBM5gtLS6,The Devin Gold Plate Special,Burger,Nuggets,Ice Cream,Nuggets,Burger,Deep Space,None,None,Ice Cream Tat,None,None,None,5,3
67,5RqwmbpYdwdp5cx3J7CnAUmvgkj3mPAJjNPp3186N7xN,THE TGP (Tummy Grumble Party),Ice Cream,Burger,Classic Fry,Drink,Nuggets,Purple,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
68,3Bso9FB26qg2FjmFJxzks6rx87L6shj6FvAciAwFsx8A,DeJack Mehoff Wombo Combo,Nuggets,Drink,Nuggets,Burger,Nuggets,Yellow,None,None,None,None,None,None,5,3
69,GhuvYVNm6M3Z5UVA7ByfviHhfULtKRU63DT7FrdZNKfw,Combo #69,Nuggets,Burger,Nuggets,None,None,Blue,None,None,None,None,None,None,3,1
70,EF7A95MSswNpnhKbRHvygb21d6D8HpDX4o7kBM5gtLS6,Princess Day Day,Nuggets,Ice Cream,Burger,Drink,Burger,Green,Burger Chain,None,Ice Cream Tat,1/1 Burger,None,None,5,3
71,A74mT6BCPuaE5Mwji6Ms86B4CiHhF8C9zagQ2wdfNNBE,Combo #71,Ice Cream,Ice Cream,Classic Fry,None,None,Mythic Ice,None,OUT OF ORDER,Classic Tat & Ice Cream Tat,1/1 Ice Cream,None,None,3,1
72,2FAiY4BbkYn7U32mbFB6nD8VHPZAtBfzHLE1PWErRwe2,Max Liquidity,Drink,Drink,Drink,Drink,Drink,Royal Galaxy,None,Dickey Megods,None,None,None,5 Drinks,5,3
73,5RqwmbpYdwdp5cx3J7CnAUmvgkj3mPAJjNPp3186N7xN,Pile-O-Nugs,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Marble,None,33 Piece,None,None,3.3 Nugs,5 Nuggets,5,3
74,5RqwmbpYdwdp5cx3J7CnAUmvgkj3mPAJjNPp3186N7xN,Ain't sayin she's a gold digger,Nuggets,Burger,Burger,Burger,Nuggets,Gold,None,None,None,None,None,All Gold Erythang,5,3
75,DjUZjyBjwCqEqXhKjFrY7dLDJcM7u7hNMRF4dRMnE6U5,Combo #75,Drink,Burger,Burger,None,None,Magenta,None,None,None,None,None,None,3,1
76,2Bp6Lh3rfV7jVpQN2ajxTTkYfey8vNe5j1Cu7WxB3Huj,DeBanger,Nuggets,Drink,Nuggets,Burger,None,Pearl,None,None,None,None,None,None,4,2
77,6gaLkuibDiko2wBB12A26BcVDXtjK79owN2ruj696Str,Combo #77,Drink,Burger,Nuggets,None,None,Purple,None,None,None,None,None,None,3,1
78,BuMBevxjVU2wXTuB9u1ubRPCsiG86hfqBj2LcUEi2UWM,MickMatty Combo,Nuggets,Burger,Ice Cream,Burger,Burger,Yellow,None,None,Ice Cream Tat,None,None,None,5,3
79,6asMmzbUNCKP23xQNBuVwH1kmCN57Jip1pBRvToo19dK,Wallahank's McMunchies,Nuggets,Classic Fry,Drink,Classic Fry,Nuggets,Deep Space,Fry Chain,None,Classic Tat,None,None,Multiple Classic Fries,5,3
80,AwvmKM8zsMSRNmvJC4HQ4cQguRMDe9jZYeoYuAE43T1e,Feast For Kings,Nuggets,Burger,Nuggets,Nuggets,Nuggets,Jade Galaxy,None,None,None,None,None,None,5,3
81,7hvK2SXXxVzFBNNNtQgTyiFej2LrGNfCjzKXMyPapebq,Combo #81,Burger,Nuggets,Burger,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
82,GPMPASyQNUd2PVJ67rmk637z3sGUPPRqXvJeFAPnGnPg,DE STREP THROAT NUGGET MCFUCKN LOVER DEADLUX,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Jade Galaxy,None,33 Piece,None,None,3.3 Nugs,5 Nuggets,5,3
83,29QBLjE3JMzSru2wRYkWoKXRaTzHY7wK3T7tooNpNmoC,Combo #83,Burger,Drink,Burger,None,None,Blue,None,None,None,None,None,None,3,1
84,7er48rjsvJr617Wv1z1kRhPSZf3VQnbF9RcWsSg4daKh,Grateful DeadGods,Nuggets,Ice Cream,Drink,Ice Cream,Burger,Green,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
85,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,Combo #85,Burger,Burger,Burger,None,None,Magenta,None,None,None,None,None,None,3,1
86,FPxUNZNKSy7KTsYdgQV2sCfC3ehU9FcatwvunNUSQQTm,DeadGary's Munchie Meal,Burger,Drink,Nuggets,Burger,None,Pearl,None,None,None,None,None,None,4,2
87,BumB3NaNkK9E6FLsCALqP71HgMZDF1EBigmt9p7Dckw9,Combo #87,Burger,Drink,Burger,None,None,Purple,None,None,None,None,None,None,3,1
88,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #88,Burger,Burger,Burger,None,None,Yellow,None,None,None,None,None,None,3,1
89,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #89,Burger,Nuggets,Burger,None,None,Gold,None,None,None,None,None,None,3,1
90,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #90,Nuggets,Nuggets,Nuggets,None,None,Deep Space,None,None,None,None,None,None,3,1
91,GeL8XjuufKLVSr7ZHWAri4MSHMyngcWAYAV6Nzs2xZia,Combo #91,Drink,Drink,Drink,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
92,2P9wBqQdfZbkr14vHSLo4SP5KqEdcCkrjpQDCbpGXgHh,VBelle Special,Nuggets,Burger,Drink,Drink,None,Blue,None,None,None,None,None,None,4,2
93,2P9wBqQdfZbkr14vHSLo4SP5KqEdcCkrjpQDCbpGXgHh,Combo #93,Nuggets,Drink,Burger,None,None,Jade Galaxy,None,None,None,None,None,None,3,1
94,Es3zKL28bHujCog46MHrFJw57uSJa2xZNPubfwDCTVJz,Combo #94,Nuggets,Burger,Nuggets,None,None,Green,None,None,None,None,None,None,3,1
95,BvK2yjqxL8QJjjM2xsW27CH9EiXpwr8noUXiN5GJmu6L,Combo #95,Burger,Burger,Nuggets,None,None,Magenta,None,None,None,None,None,None,3,1
96,BvK2yjqxL8QJjjM2xsW27CH9EiXpwr8noUXiN5GJmu6L,Combo #96,Drink,Nuggets,Drink,None,None,Pearl,None,None,None,None,None,None,3,1
97,3sWjnhSyp2keipneGjDwYhWQLeouCt9jGJJHb9S2pV2N,McDust 3XL,Drink,Burger,Ice Cream,Burger,Nuggets,Marble,None,None,Ice Cream Tat,None,None,None,5,3
98,GTG3dUXFDcgy27awmDrVZ5iwko2biR3xupwEXoM9dAd6,Shebang,Drink,Burger,Ice Cream,Nuggets,None,Purple,None,None,Ice Cream Tat,None,None,None,4,2
99,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #99,Drink,Burger,Nuggets,None,None,Deep Space,None,None,None,None,None,None,3,1
100,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #100,Drink,Burger,Nuggets,None,None,Yellow,None,None,None,None,None,None,3,1
101,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #101,Drink,Burger,Nuggets,None,None,Blue,None,None,None,None,None,None,3,1
102,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #102,Drink,Burger,Nuggets,None,None,Green,None,None,None,None,None,None,3,1
103,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #103,Drink,Burger,Nuggets,None,None,Magenta,None,None,None,None,None,None,3,1
104,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #104,Drink,Burger,Nuggets,None,None,Pearl,None,None,None,None,None,None,3,1
105,EU1hrRg6YvANJgLfkMok7zUrWVqGp8uHw9kAj98V96dZ,Combo #105,Drink,Burger,Nuggets,None,None,Royal Galaxy,None,None,None,None,None,None,3,1
106,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,33.3% Fox,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Gold,None,33 Piece,None,All Gold Erythang,3.3 Nugs,5 Nuggets,5,3
107,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,Combo #107,Drink,Burger,Drink,None,None,Jade Galaxy,None,None,None,None,None,None,3,1
108,8XendZxPEt1JCKmKKePT1R3YBfN97nzAiZC1D7M7PCtx,Big Peen,Nuggets,Drink,Ice Cream,Burger,Nuggets,Royal Galaxy,None,None,Ice Cream Tat,None,None,None,5,3
109,5Uk8sxZTfeYgFy76hy2qtY7FdvdDn1Uj3HQYA713WGJj,Combo #109,Burger,Nuggets,Burger,None,None,Gold,None,None,None,None,None,All Gold Erythang,3,1